name	indication	catagories	synonyms
Pegfilgrastim	Increases leukocyte production, for treatment in non-myeloid cancer, neutropenia and bone marrow transplant	Immunosuppressive Agents****spec****Antineutropenic Agents****spec****	G-CSF****spec****Granulocyte colony-stimulating factor precursor****spec****Lenograstim****spec****N-(3-Hydroxypropyl)Methionylcolony-stimulating Factor (human), 1-Ether with .Alpha.-Methyl-.Omega.-Hydroxypoly(Oxyethylene)****spec****Pluripoietin****spec****
Sargramostim	For the treatment of cancer and bone marrow transplant	Immunosuppressive Agents****spec****	GM-CSF****spec****
Secretin	For diagnosis of pancreatic exocrine dysfunction and gastrinoma	Diagnostic Agents****spec****	
Peginterferon alfa-2b	For the treatment of chronic hepatitis C in patients not previously treated with interferon alpha who have compensated liver disease and are at least 18 years of age.	Immunosuppressive Agents****spec****CYP2D6 Inhibitors (Weak)****spec****	
Asparaginase	For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma	Antineoplastic Agents****spec****	Asparaginase (E. coli)****spec****L-asparagine amidohydrolase****spec****Putative L-asparaginase precursor****spec****
Thyrotropin Alfa	For detection of residueal or recurrent thyroid cancer	Diagnostic Agents****spec****	rTSH****spec****Thyroid stimulating hormone****spec****Thyrotrophin-alfa****spec****Thyrotrophin-alpha****spec****Thyrotropin****spec****Thyrotropin-a****spec****Thyrotropin-alpha****spec****Thytrophin****spec****TSH****spec****
Antihemophilic Factor (Recombinant)	For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency.	Coagulants****spec****Thrombotic Agents****spec****	Antihemophilic Factor (Recombinant), Plasma/Albumin-Free Method****spec****Antihemophilic Factor, Human Recombinant****spec****Factor VIII (Recombinant)****spec****Human Factor VIII (Recombinant)****spec****rAHF****spec****
Anakinra	For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID). 	Immunosuppressive Agents****spec****Interleukin-1 Receptor Antagonist****spec****Antirheumatic Agents****spec****	ICIL-1RA****spec****IL-1ra****spec****IL-1RN****spec****IL1 inhibitor****spec****Interleukin-1 receptor antagonist protein precursor****spec****IRAP****spec****
Gramicidin D	For treatment of skin lesions, surface wounds and eye infections	Antibiotics, Topical****spec****Anti-Infective Agents****spec****Anti-Bacterial Agents****spec****Antibiotics****spec****	Bacillus brevis gramicidin D****spec****Gramicidin****spec****Gramicidin A****spec****Gramicidin B****spec****Gramicidin C****spec****Gramicidine****spec****
Intravenous Immunoglobulin	IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barré syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott–Aldrich syndrome and inflammatory skin diseases.	Immunosuppressive Agents****spec****Immunologic Factors****spec****Anti-Infective Agents****spec****	Ig alpha-2 chain C region****spec****immune globulin****spec****Immunoglobulin G****spec****
Anistreplase	For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction	Fibrinolytic Agents****spec****Thrombolytic Agents****spec****	t- PA****spec****t-plasminogen activator****spec****Tissue-type plasminogen activator precursor****spec****tPA****spec****
Insulin Regular	Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus. 	Hypoglycemia-Associated Agents****spec****Blood Glucose Lowering Agents****spec****Antidiabetic Agents****spec****	Insulin human ****spec****
Tenecteplase	For treatment of myocardial infarction and lysis of intracoronary emboli	Fibrinolytic Agents****spec****Thrombolytic Agents****spec****	t- PA****spec****t-plasminogen activator****spec****Tissue-type plasminogen activator precursor****spec****tPA****spec****
Menotropins	For the treatment of female infertility	Fertility Agents****spec****Fertility Agents, Female****spec****	Menotropins (FSH;LH)****spec****
Interferon gamma-1b	Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.	Immunosuppressive Agents****spec****	IFN-gamma****spec****Immune interferon****spec****Interferon gamma precursor****spec****
Interferon Alfa-2a, Recombinant	For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.		Interferon alfa-2a****spec****Interferon alpha-2a****spec****Oral interferon alfa****spec****rIFN-alpha-2a****spec****
Desmopressin	Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. 	Antidiuretic Agents****spec****Hemostatics****spec****Renal Agents****spec****NSAID (Nonselective)****spec****	1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin****spec****1-deamino-8-D-arginine vasopressin****spec****1-Desamino-8-D-arginine vasopressin****spec****DDAVP****spec****Desmopresina****spec****Desmopressin****spec****Desmopressine****spec****Desmopressinum****spec****Minirin****spec****Stimate****spec****
Coagulation factor VIIa	For treatment of hemorrhagic complications in hemophilia A and B	Coagulants****spec****Thrombotic Agents****spec****	Coagulation factor VII precursor****spec****Eptacog alfa****spec****Proconvertin****spec****Serum prothrombin conversion accelerator****spec****SPCA****spec****
Oprelvekin	Increases reduced platelet levels due to chemotherapy	Coagulants****spec****Thrombotic Agents****spec****Antineoplastic Agents****spec****	Adipogenesis inhibitory factor****spec****AGIF****spec****IL-11****spec****Interleukin-11 precursor****spec****
Palifermin	For treatment of oral mucositis associated with chemotherapy and radiation therapy.	Anti-Mucositis Agents****spec****	FGF-7****spec****Fibroblast growth factor- 7****spec****HBGF-7****spec****Keratinocyte growth factor precursor****spec****KGF****spec****
Glucagon recombinant	For treatment of severe hypoglycemia, also used in gastrointestinal imaging	Hypoglycemic Agents****spec****	Glucagon****spec****Glucagon hydrochloride recombinant****spec****Glucagone****spec****Glucagonum****spec****His-ser-gln-gly-thr-phe-thr-ser-asp-tyr-ser-lys-tyr-leu-asp-ser-arg-arg-ala-gln-asp-phe-val-gln-trp-leu-met-asn-thr****spec****His-ser-glu(NH2)-gly-thr-phe-thr-ser-asp-tyr-ser-lys-tyr-leu-asp-ser-arg-arg-ala-glu(NH2)-asp-phe-val-glu(NH2)-trp-leu-met-asp(NH2)-thr****spec****HSQGTFTSDYSKYLDSRRAQDFVQWLMNT****spec****
Aldesleukin	For treatment of adults with metastatic renal cell carcinoma.	Hypotensive Agents****spec****Antineoplastic Agents****spec****Anti-HIV Agents****spec****	IL-2****spec****Interleukin-2 precursor****spec****T-cell growth factor****spec****TCGF****spec****
Botulinum Toxin Type B	For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.	Antidystonic Agents****spec****	Botulinum neurotoxin type B precursor****spec****BTX-B****spec****RimabotulinumtoxinB****spec****
Omalizumab	For treatment of asthma caused by allergies	Anti-Asthmatic Agents****spec****Immunosuppressive Agents****spec****Anti-Allergic Agents****spec****	Ig gamma-1 chain C region****spec****
Lutropin alfa	For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)	Fertility Agents****spec****	ICSH****spec****Insterstiial cell-stimulating hormone****spec****LH****spec****LH-B****spec****LSH- beta****spec****LSH-B****spec****Luteinizing hormone****spec****Luteinizing hormone beta subunit****spec****Lutrophin****spec****Lutropin alpha****spec****Lutropin beta chain precursor****spec****
OspA lipoprotein	For prophylactic treatment of Lyme Disease	Vaccines****spec****	Outer surface protein A precursor****spec****
Insulin Lispro	For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump. 	Hypoglycemic Agents****spec****Hypoglycemia-Associated Agents****spec****Antidiabetic Agents****spec****	Insulin Lispro Recombinant ****spec****
Insulin Glargine	For the treatment of Type 1 or 2 diabetes mellitus in patients over 17 years old who require a long-acting (basal) insulin for the control of hyperglycemia. May be used in pediatric patients with Type 1 diabetes mellitus who require a long-acting (basal) insulin for glycemic control.  	Hypoglycemic Agents****spec****Antidiabetic Agents****spec****	Insulin Glargine (rDNA origin)****spec****Insulin glargine recombinant****spec****
Collagenase clostridium histolyticum	Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.		
Rasburicase	For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)	Gout Suppressants****spec****Antihyperuricemic Agents****spec****	Urate oxidase****spec****Uricase****spec****
Cetrorelix	For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation	Fertility Agents****spec****Hormone Antagonists****spec****	Cetrorelixum****spec****
Adalimumab	For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease.	Immunosuppressive Agents****spec****Antirheumatic Agents****spec****Anti-Inflammatory Agents****spec****	Ig gamma-1 chain C region****spec****
Somatropin recombinant	For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss	Hormone Replacement Agents****spec****	GH****spec****GH-N****spec****Growth hormone****spec****Growth hormone 1****spec****Pituitary growth hormone****spec****Somatotropin precursor****spec****Somatropin****spec****Somatropin [rDNA origin]****spec****
Imiglucerase	For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)	Enzyme Replacement Agents****spec****	
Abciximab	Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and  in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.	Anticoagulants****spec****Platelet Aggregation Inhibitors****spec****	7E3 ****spec****7E3 antibody****spec****antiGPIIBIIIa****spec****C7E3****spec****
Drotrecogin alfa	For reduction of mortality in patients with severe sepsis.	Antisepsis****spec****	Anticoagulant protein C****spec****Autoprothrombin IIA****spec****Blood coagulation factor XIV****spec****Vitamin K-dependent protein C precursor****spec****
Gemtuzumab ozogamicin	For treatment of CD33-positive acute myeloid leukemia in patients 60 and over who are not candidates for other chemotherapy.	Antineoplastic Agents****spec****Immunotoxins****spec****	
Satumomab Pendetide	For diagnosis of extrahepatic malignant cancers	Diagnostic Agents****spec****	Indium (111In) satumomab pendetide****spec****Indium-111 satumomab pendetide****spec****
Alpha-1-proteinase inhibitor	For treatment of panacinar emphysema	Enzyme Replacement Agents****spec****Serine Proteinase Inhibitors****spec****Trypsin Inhibitors****spec****	Alpha 1-antitrypsin****spec****Alpha-1 protease inhibitor****spec****Alpha-1-antiproteinase****spec****Alpha-1-antitrypsin precursor****spec****
Pegaspargase	For treatment of acute lymphoblastic leukemia	Antineoplastic Agents****spec****	L-asparagine amidohydrolase****spec****Putative L-asparaginase precursor****spec****
Interferon beta-1a	For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum	Antiviral Agents****spec****Immunosuppressive Agents****spec****Immunologic Factors****spec****Antineoplastic Agents****spec****	Fibroblast interferon****spec****IFN-beta****spec****Interferon beta precursor****spec****
Pegademase bovine	For treatment of adenosine deaminase deficiency	Enzyme Replacement Agents****spec****	Adenosine aminohydrolase****spec****Adenosine deaminase****spec****
Human Serum Albumin	For treatment of severe blood loss, hypervolemia, hypoproteinemia	Serum substitutes****spec****	Albumin (human)****spec****Albumin human****spec****Serum albumin precursor****spec****
Eptifibatide	For treatment of myocardial infarction and acute coronary syndrome.	Platelet Aggregation Inhibitors****spec****	Integrelin****spec****Intrifiban****spec****
Serum albumin iodonated	For determination of total blood and plasma volumes	Diagnostic Agents****spec****	Serum albumin precursor****spec****
Infliximab	To manage the signs and symptoms, as well as to induce and maintain clinical remission in adults with moderate to severe active Crohn's disease or ulcerative colitis. Also used to manage signs and symptoms of rheumatoid arthritis (in conjunction with methotrexate), ankylosing spondylitis, psoriatic arthritis, and juvenile arthritis.	Immunosuppressive Agents****spec****Dermatologic Agents****spec****Antirheumatic Agents****spec****Anti-Inflammatory Agents, Non-Steroidal****spec****Gastrointestinal Agents****spec****	Ig gamma-1 chain C region****spec****
Follitropin beta	For treatment of female infertility	Fertility Agents****spec****	Follicle stimulating hormone beta****spec****Follicle-stimulating hormone beta subunit****spec****Follitrophin beta****spec****Follitropin beta****spec****Follitropin beta chain precursor****spec****FSH-b****spec****FSH-B****spec****FSH-beta****spec****
Vasopressin	For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding	Antidiuretic Agents****spec****	8-Arginine vasopressin****spec****8-L-arginine vasopressin****spec****ADH****spec****Antidiuretic hormone****spec****Arginine vasopressin****spec****Argipressin****spec****AVP****spec****
Interferon beta-1b	Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.	Immunosuppressive Agents****spec****Adjuvants, Immunologic****spec****	Fibroblast interferon****spec****IFN-beta****spec****Interferon beta precursor****spec****
Interferon alfacon-1	For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Antiviral Agents****spec****Immunosuppressive Agents****spec****	CIFN****spec****consensus interferon****spec****IFN Alfacon-1****spec****Interferon Consensus, Methionyl****spec****methionyl interferon consensus****spec****methionyl-interferon-consensus****spec****rCon-IFN****spec****Recombinant Consensus Interferon****spec****Recombinant methionyl human consensus interferon****spec****
Hyaluronidase	For increase of absorption and distribution of other injected drugs and for rehydration.	Permeabilizing Agents****spec****Adjuvants, Anesthesia****spec****	HYAL-1****spec****Hyaluronidase 1 precursor****spec****Hyaluronidase PH-20****spec****Hyaluronidase, ovine****spec****Sperm adhesion molecule 1****spec****Sperm surface protein PH-20****spec****
Insulin, porcine	For the treatment of type I and II diabetes mellitus.	Hypoglycemic Agents****spec****	
Trastuzumab	For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2.	Antineoplastic Agents****spec****	Anti HER2****spec****Ig gamma-1 chain C region****spec****
Rituximab	For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis.	Immunologic Factors****spec****Antirheumatic Agents****spec****Antineoplastic Agents****spec****	AntiCD20****spec****Ig gamma-1 chain C region****spec****
Basiliximab	For prophylactic treatment of kidney transplant rejection	Immunosuppressive Agents****spec****	chimeric mouse-human antiCD25****spec****Ig gamma-1 chain C region****spec****
Muromonab	For treatment of organ transplant recipients, prevention of organ rejection	Immunosuppressive Agents****spec****Immunologic Factors****spec****	Anti-CD3****spec****Muromonab-CD3****spec****
Digoxin Immune Fab (Ovine)	For treatment of digitoxin overdose or digitalis glycoside toxicity.	Antidotes****spec****	
Ibritumomab	For treatment of non-Hodgkin's lymphoma		Ibritumomab tiuxetan****spec****Ig gamma-2A chain C region, membrane-bound form****spec****radiolabeled murine anti-CD20****spec****
Daptomycin	For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.		
Tositumomab	For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)		Ig gamma-1 chain C region****spec****
Pegvisomant	Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.	Hormone Replacement Agents****spec****	GH****spec****GH-N****spec****Growth hormone****spec****Growth hormone 1****spec****Pituitary growth hormone****spec****Somatotropin precursor****spec****
Botulinum Toxin Type A	For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.	Anti-Wrinkle Agents****spec****Neuromuscular Blocking Agents****spec****Antidystonic Agents****spec****	AbobotulinumtoxinA****spec****BoNT/A****spec****Bontoxilysin A****spec****Botulinum neurotoxin type A precursor****spec****BTX-A****spec****OnabotulinumtoxinA****spec****
Pancrelipase	For treatment of exocrine pancreatic insufficiency in cystic fibrosis (Ultresa™), chronic pancreatitis (Viokace™ in combination with a proton pump inhibitor), and pancreatectomy (Viokace™ in combination with a proton pump inhibitor).     	Enzyme Replacement Agents****spec****Gastrointestinal Agents****spec****	1,4-alpha-D- glucan glucanohydrolase****spec****PA****spec****Pancreatic alpha-amylase precursor****spec****Pancrelipase (amylase;lipase;protease)****spec****
Streptokinase	For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae	Fibrinolytic Agents****spec****Thrombolytic Agents****spec****	Streptokinase C precursor****spec****
Alemtuzumab	Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.		
Alglucerase	For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)	Enzyme Replacement Agents****spec****	
Capromab	For diagnosis of prostate cancer and detection of intra-pelvic metastases.	Diagnostic Agents****spec****Indicators and Reagents****spec****	Capromab pendetide****spec****In 111 Capromab pendetide****spec****Indium (111In) capromab pendetide****spec****Indium 111 Capromab Pendetide****spec****
Laronidase	For the treatment of mucopolysaccharidosis	Enzyme Replacement Agents****spec****	Alpha-L-iduronidase precursor****spec****
Cyclosporine	For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. 	Immunosuppressive Agents****spec****CYP3A4 Inhibitors (Weak)****spec****Dermatologic Agents****spec****Antirheumatic Agents****spec****Enzyme Inhibitors****spec****Antifungal Agents****spec****	Ciclosporin****spec****CsA****spec****CyA****spec****Cyclosporin A****spec****
Alefacept	As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis	Immunosuppressive Agents****spec****Dermatologic Agents****spec****	ASP0485****spec****
Felypressin	For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential.	Renal Agents****spec****Vasoconstrictor Agents****spec****	2-(L-phenylalanine)-8-L-lysinevasopressin****spec****Felipresina****spec****Felypressin****spec****Felypressine****spec****Felypressinum****spec****PLV-2****spec****
Urofollitropin	For treatment of female infertility	Fertility Agents****spec****	Follicle Stimulating Hormone****spec****Follicle-stimulating hormone beta subunit****spec****Follitropin beta chain precursor****spec****FSH****spec****FSH-B****spec****FSH-beta****spec****Urofollitrophin****spec****
Efalizumab	For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.	Immunosuppressive Agents****spec****	anti alphaL integrin****spec****antiCD11 alpha****spec****hu1124****spec****Raptiva****spec****
Serum albumin	For treatment of severe blood loss, hypervolemia, hypoproteinemia.	Serum substitutes****spec****	Serum albumin precursor****spec****
Choriogonadotropin alfa	For the treatment of female infertility	Fertility Agents****spec****Gonadotropins****spec****	CG-beta****spec****Choriogonadotropin alpha****spec****Choriogonadotropin beta chain precursor****spec****Chorionic gonadotrophin beta subunit****spec****
Anti-thymocyte Globulin (Rabbit)	For prevention of renal transplant rejection	Immunosuppressive Agents****spec****Immunologic Factors****spec****	Anti-thymocyte globulin (rabbit)****spec****rabbit ATG****spec****rATG****spec****Thymoglobulin****spec****
Filgrastim	Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies.	Immunosuppressive Agents****spec****Hematopoietic Agents****spec****Antineutropenic Agents****spec****	G-CSF ****spec****Granulocyte Colony Stimulating Factor ****spec****Tbo-filgrastim****spec****
Coagulation Factor IX	For treatment of hemophilia (Christmas disease).	Coagulants****spec****Thrombotic Agents****spec****	Christmas factor****spec****Coagulation factor IX (human)****spec****Coagulation factor IX human****spec****Coagulation factor IX precursor****spec****Plasma thromboplastin component****spec****PTC****spec****
Becaplermin	For topical treatment of skin ulcers (from diabetes)	Angiogenesis Inducing Agents****spec****	c-sis****spec****PDGF B-chain****spec****PDGF-2****spec****Platelet-derived growth factor B chain precursor****spec****Platelet-derived growth factor beta polypeptide****spec****
Agalsidase beta	For treatment of Fabry's disease (alpha-galactosidase A deficiency)	Enzyme Replacement Agents****spec****	Agalsidase alfa****spec****Alpha-D- galactoside galactohydrolase****spec****Alpha-D-galactosidase A****spec****Alpha-galactosidase A precursor****spec****Melibiase****spec****
Octreotide	For treatment of acromegaly and reduction of side effects from cancer chemotherapy	QTc-Prolonging Agents (Indeterminate Risk and Risk Modifying)****spec****Hormone Replacement Agents****spec****Bradycardia-Causing Agents****spec****Somatostatin Analogs****spec****Antineoplastic Agents, Hormonal****spec****Gastrointestinal Agents****spec****	Octreotida****spec****Octreotidum****spec****Octrotide****spec****
Interferon Alfa-2b, Recombinant	For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.	Immunosuppressive Agents****spec****	Interferon alfa-2b****spec****rIFN-alpha-2b****spec****
Abarelix	For palliative treatment of advanced prostate cancer.	Anti-Testosterone Agents****spec****	
Oxytocin	Used for labor induction, augmentation of labor, postpartum abbreviation of third stage of labor, postpartum control of uterine bleeding, termination of pregnancy and for the evaluation of fetal respiratory capability. Oxytocin cannot be used for elective induction of labor, there must be a clear medical requirement. 	Oxytocics****spec****Labor Induction Agents****spec****Anti-tocolytic Agents****spec****Oxytocic Agents****spec****	Pitocin****spec****Syntocinon****spec****
Natalizumab	For treatment of multiple sclerosis.	Immunosuppressive Agents****spec****	Anti-alpha4 integrin****spec****Anti-VLA4****spec****
Enfuvirtide	Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.	HIV Fusion Inhibitors****spec****	Envelope polyprotein GP160 precursor [Contains: Exterior membrane glycoprotein,GP120, Transmembrane glycoprotein,GP41]****spec****
Palivizumab	For prophylaxis of respiratory diseases casued by respiratory syncytial virus.	Antiviral Agents****spec****	anti-RSV****spec****Synagis****spec****
Daclizumab	Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection	Immunosuppressive Agents****spec****	Anti-IL-2****spec****Humanized antiCD25****spec****Ig gamma-1 chain C region****spec****
